country,HIV_dead
Afghanistan,0.013400631
Albania,0
Algeria,0.054586681
Angola,3.814268025
Argentina,0.021762722
Armenia,0.084914873
Australia,0
Austria,0
Azerbaijan,0.060346388
Bahamas,0.177116543
Bahrain,0
Bangladesh,0.017495053
Barbados,0.349772648
Belarus,0
Belgium,0
Belize,0.806993948
Benin,1.550823107
Bhutan,0
Bolivia,0.106550577
Bosnia and Herzegovina,0
Botswana,0
Brazil,0.04798925
Brunei,0
Bulgaria,0
Burkina Faso,1.380433637
Burundi,3.945718445
Cambodia,0.296152782
Cameroon,6.193497821
Canada,0
Cape Verde,0
Central African Rep.,11.41906946
Chad,5.717965849
Chile,0.011941772
China,0.065678692
Colombia,0.052260882
Comoros,0
"Congo, Rep.",5.813953488
Costa Rica,0
Cote d'Ivoire,4.498039813
Croatia,0
Cuba,0.008510059
Cyprus,0
Czech Rep.,0
"Korea, Dem. Rep.",0.042789902
"Congo, Dem. Rep.",2.17631966
Denmark,0
Djibouti,5.624017865
Dominican Rep.,0.428231138
Ecuador,0.227888577
Egypt,0.01637648
El Salvador,0.707759619
Equatorial Guinea,4.269071178
Eritrea,2.466436686
Estonia,0.06275888
Ethiopia,2.935575751
Fiji,0.11314137
Finland,0
France,0
Gabon,7.434568213
Gambia,1.374885426
Georgia,0.076666539
Germany,0.003003445
Ghana,1.899499679
Greece,0
Grenada,0
Guatemala,0.943308694
Guinea,2.585606789
Guinea-Bissau,3.554775864
Guyana,3.523711643
Haiti,3.195648354
Honduras,0.416784508
Hungary,0
Iceland,0
India,0.318992695
Indonesia,0.15048399
Iran,0.17439355
Iraq,0
Ireland,0
Israel,0
Italy,0
Jamaica,1.164122137
Japan,0
Jordan,0
Kazakhstan,0.052585567
Kenya,5.878635227
Kuwait,0
Kyrgyzstan,0.099782972
Laos,0.058892121
Latvia,0
Lebanon,0.090995951
Lesotho,13.04193978
Liberia,3.905524805
Libya,0
Lithuania,0
Luxembourg,0
Madagascar,0.117863784
Malawi,12.85058047
Malaysia,0.237908008
Maldives,0
Mali,2.05771181
Malta,0
Mauritania,0.620588726
Mauritius,0.110546098
Mexico,0.038562168
"Micronesia, Fed. Sts.",0
Mongolia,0.040291712
Montenegro,0
Morocco,0.034031968
Mozambique,17.68855412
Myanmar,0.650189957
Namibia,7.507533069
Nepal,0.381286617
Netherlands,0
New Zealand,0
Nicaragua,0.178609702
Niger,0.729827295
Nigeria,4.88676595
Norway,0
Oman,0
Pakistan,0.079633782
Panama,0.156822491
Papua New Guinea,1.749603681
Paraguay,0.279791263
Peru,0.313654136
Philippines,0.014312544
Poland,0
Portugal,0.038228857
Qatar,0
"Korea, Rep.",0
Moldova,0
Romania,0
Russia,0.009706482
Rwanda,0.69725836
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Sao Tome and Principe,0
Saudi Arabia,0
Senegal,1.509918677
Serbia,0
Sierra Leone,2.858768758
Singapore,0
Slovak Republic,0
Slovenia,0
Solomon Islands,0
Somalia,0.417359103
South Africa,30.37439055
Spain,0.008142046
Sri Lanka,0.016416722
Sudan,2.584954331
Suriname,0.613873542
Swaziland,40.15410959
Sweden,0.009320273
Switzerland,0
Syria,0
Tajikistan,0.140016076
Thailand,0.279477449
"Macedonia, FYR",0
Togo,5.414780659
Tonga,0
Trinidad and Tobago,1.920841126
Tunisia,0
Turkey,0
Turkmenistan,0
Uganda,6.510497512
Ukraine,0.13951349
United Arab Emirates,0
United Kingdom,0.001345908
Tanzania,8.405344329
United States,0.001363976
Uruguay,0.019858607
Uzbekistan,0.084946104
Vanuatu,0
Venezuela,0.051793994
Vietnam,0.456570566
"Yemen, Rep.",0
Zambia,16.92081376
Zimbabwe,19.9657926
